 Mortalidade - Brasil - Dados preliminares
Óbitos p/Residênc por Município e Faixa Etária
Causas evitáveis - 0 a 4 anos: 1.1. Reduzível pelas ações de imunização, 1.2.1 Reduzíveis atenção à mulher na gestação, 1.2.2 Reduz por adequada atenção à mulher no parto, 1.2.3 Reduzíveis adequada atenção ao recém-nascido, 1.3. Reduz ações diagnóstico e tratamento adequado, 1.4. Reduz. ações promoção à saúde vinc. Aç. At
Faixa Etária: Menor 1 ano, 1 a 4 anos, 5 a 9 anos
Período:2017
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"Total"
"270790 Santa Luzia do Norte";-;1;-;1
"270800 Santana do Ipanema";12;4;-;16
"270810 Santana do Mundaú";3;-;-;3
"270820 São Brás";-;1;-;1
"270840 São José da Tapera";8;1;2;11
"270850 São Luís do Quitunde";5;-;-;5
"270860 São Miguel dos Campos";3;1;1;5
"270870 São Miguel dos Milagres";2;-;-;2
"270880 São Sebastião";5;-;-;5
"270890 Satuba";2;-;-;2
"270895 Senador Rui Palmeira";3;-;-;3
"270900 Tanque d'Arca";2;-;-;2
"270910 Taquarana";4;-;-;4
"270915 Teotônio Vilela";7;1;-;8
"270920 Traipu";5;-;-;5
"270930 União dos Palmares";11;1;2;14
"270940 Viçosa";2;-;-;2
"280010 Amparo de São Francisco";1;-;-;1
"280020 Aquidabã";4;-;1;5
"280030 Aracaju";124;5;3;132
"280040 Arauá";2;-;1;3
"280050 Areia Branca";2;-;-;2
"280060 Barra dos Coqueiros";5;-;-;5
"280067 Boquim";3;-;1;4
"280070 Brejo Grande";1;-;-;1
"280100 Campo do Brito";-;1;1;2
"280110 Canhoba";2;1;-;3
"280120 Canindé de São Francisco";6;1;-;7
"280130 Capela";7;1;-;8
"280140 Carira";2;-;1;3
"280150 Carmópolis";3;-;-;3
"280160 Cedro de São João";-;-;1;1
"280170 Cristinápolis";3;2;-;5
"280210 Estância";13;1;-;14
"280230 Frei Paulo";4;-;-;4
"280240 Gararu";1;1;-;2
"280260 Gracho Cardoso";1;-;-;1
"280270 Ilha das Flores";5;-;-;5
"280280 Indiaroba";3;-;-;3
"280290 Itabaiana";14;-;-;14
"280300 Itabaianinha";6;-;1;7
"280310 Itabi";1;1;-;2
"280320 Itaporanga d'Ajuda";7;1;-;8
"280330 Japaratuba";3;-;-;3
"280350 Lagarto";18;2;1;21
"280360 Laranjeiras";5;1;-;6
"280390 Malhador";-;1;1;2
"280400 Maruim";6;-;-;6
"280410 Moita Bonita";1;-;-;1
"280420 Monte Alegre de Sergipe";1;1;-;2
"280430 Muribeca";1;-;-;1
"280440 Neópolis";1;2;-;3
"280445 Nossa Senhora Aparecida";1;-;-;1
"280450 Nossa Senhora da Glória";2;-;2;4
"280460 Nossa Senhora das Dores";6;1;2;9
"280480 Nossa Senhora do Socorro";33;1;2;36
"280490 Pacatuba";6;-;-;6
"280510 Pedrinhas";1;-;-;1
"280520 Pinhão";1;-;-;1
"280530 Pirambu";2;-;-;2
"280540 Poço Redondo";7;-;-;7
"280550 Poço Verde";2;-;-;2
"280560 Porto da Folha";4;-;-;4
"280570 Propriá";6;1;-;7
"280580 Riachão do Dantas";2;-;-;2
"280590 Riachuelo";2;-;-;2
"280600 Ribeirópolis";-;1;-;1
"280610 Rosário do Catete";2;-;-;2
"280620 Salgado";2;1;-;3
"280630 Santa Luzia do Itanhy";2;1;-;3
"280650 Santa Rosa de Lima";1;-;-;1
"280670 São Cristóvão";18;1;-;19
"280680 São Domingos";3;-;-;3
"280700 São Miguel do Aleixo";3;-;-;3
"280710 Simão Dias";2;1;2;5
"280720 Siriri";2;-;-;2
"280730 Telha";1;-;-;1
"280740 Tobias Barreto";12;-;1;13
"280750 Tomar do Geru";2;-;-;2
"280760 Umbaúba";5;-;-;5
"290020 Abaré";2;-;-;2
"290030 Acajutiba";3;-;-;3
"290035 Adustina";1;-;-;1
"290040 Água Fria";6;-;-;6
"290060 Aiquara";1;-;-;1
"290070 Alagoinhas";25;3;-;28
"290080 Alcobaça";3;1;1;5
"290090 Almadina";2;-;-;2
"290100 Amargosa";3;1;-;4
"290110 Amélia Rodrigues";4;-;-;4
"290115 América Dourada";2;-;-;2
"290120 Anagé";2;-;-;2
"290130 Andaraí";-;-;1;1
"290135 Andorinha";-;-;1;1
"290140 Angical";1;-;-;1
"290160 Antas";2;-;-;2
"290170 Antônio Cardoso";1;1;-;2
"290180 Antônio Gonçalves";2;-;-;2
"290195 Apuarema";1;-;-;1
"290205 Araças";2;-;-;2
"290210 Araci";9;1;-;10
"290220 Aramari";1;-;-;1
"290225 Arataca";-;-;1;1
"290230 Aratuípe";3;-;-;3
"290240 Aurelino Leal";3;-;-;3
"290250 Baianópolis";2;-;-;2
"290260 Baixa Grande";1;-;-;1
"290265 Banzaê";3;-;-;3
"290270 Barra";12;-;-;12
"290280 Barra da Estiva";4;-;-;4
"290290 Barra do Choça";4;-;2;6
"290300 Barra do Mendes";1;-;-;1
"290320 Barreiras";32;4;3;39
"290323 Barro Alto";4;-;-;4
"290330 Barro Preto";2;-;-;2
"290327 Barrocas";1;-;-;1
"290340 Belmonte";3;1;-;4
"290350 Belo Campo";7;-;-;7
"290360 Biritinga";1;-;-;1
"290370 Boa Nova";3;-;-;3
"290380 Boa Vista do Tupim";2;-;-;2
"290390 Bom Jesus da Lapa";14;1;-;15
"290400 Boninal";2;-;-;2
"290405 Bonito";3;-;-;3
"290410 Boquira";4;1;1;6
"290420 Botuporã";1;-;-;1
"290430 Brejões";1;-;-;1
"290440 Brejolândia";2;-;-;2
"290450 Brotas de Macaúbas";2;-;-;2
"290460 Brumado";4;-;-;4
"290470 Buerarema";3;-;-;3
"290475 Buritirama";3;-;1;4
"290480 Caatiba";1;-;-;1
"290485 Cabaceiras do Paraguaçu";3;2;-;5
"290490 Cachoeira";8;-;-;8
"290500 Caculé";1;-;-;1
"290510 Caém";3;-;-;3
"290520 Caetité";3;-;1;4
"290530 Cafarnaum";2;1;-;3
"290540 Cairu";6;-;-;6
"290550 Caldeirão Grande";-;1;-;1
"290560 Camacan";8;-;-;8
"290570 Camaçari";34;4;1;39
"290580 Camamu";10;2;-;12
"290590 Campo Alegre de Lourdes";1;1;-;2
"290600 Campo Formoso";8;1;1;10
"290610 Canápolis";1;-;-;1
"290620 Canarana";4;1;-;5
"290630 Canavieiras";8;-;-;8
"290640 Candeal";1;-;1;2
"290650 Candeias";12;2;-;14
"290660 Candiba";2;-;-;2
"290670 Cândido Sales";4;-;-;4
"290680 Cansanção";7;-;-;7
"290682 Canudos";4;-;-;4
"290687 Capim Grosso";3;1;-;4
"290690 Caravelas";3;1;-;4
"290700 Cardeal da Silva";2;-;-;2
"290710 Carinhanha";5;-;1;6
"290720 Casa Nova";11;1;-;12
"290730 Castro Alves";4;-;-;4
"290740 Catolândia";1;-;-;1
"290750 Catu";2;-;-;2
"290755 Caturama";1;-;-;1
"290760 Central";1;-;-;1
"290770 Chorrochó";2;-;1;3
"290780 Cícero Dantas";7;-;1;8
"290790 Cipó";4;-;-;4
"290800 Coaraci";4;-;-;4
"290810 Cocos";2;1;1;4
"290820 Conceição da Feira";1;-;1;2
"290830 Conceição do Almeida";2;-;-;2
"290840 Conceição do Coité";8;3;1;12
"290850 Conceição do Jacuípe";2;-;-;2
"290860 Conde";4;1;-;5
"290870 Condeúba";2;-;-;2
"290880 Contendas do Sincorá";1;-;-;1
"290890 Coração de Maria";1;-;1;2
"290900 Cordeiros";1;-;-;1
"290910 Coribe";1;-;-;1
"290920 Coronel João Sá";1;1;-;2
"290930 Correntina";6;2;-;8
"290940 Cotegipe";3;-;-;3
"290950 Cravolândia";2;-;-;2
"290960 Crisópolis";6;2;-;8
"290970 Cristópolis";2;-;-;2
"290980 Cruz das Almas";8;-;-;8
"290990 Curaçá";5;-;-;5
"291000 Dário Meira";1;-;-;1
"291005 Dias d'Ávila";12;-;-;12
"291010 Dom Basílio";1;1;1;3
"291040 Encruzilhada";4;-;1;5
"291050 Entre Rios";4;-;-;4
"290050 Érico Cardoso";3;-;-;3
"291060 Esplanada";4;-;-;4
"291070 Euclides da Cunha";14;-;1;15
"291072 Eunápolis";27;1;1;29
"291075 Fátima";4;1;-;5
"291080 Feira de Santana";102;8;8;118
"291085 Filadélfia";2;-;-;2
"291090 Firmino Alves";1;-;-;1
"291110 Formosa do Rio Preto";4;2;1;7
"291120 Gandu";4;-;-;4
"291130 Gentio do Ouro";2;-;-;2
"291140 Glória";5;1;1;7
"291150 Gongogi";3;-;-;3
"291160 Governador Mangabeira";3;-;-;3
"291170 Guanambi";8;2;1;11
"291180 Guaratinga";6;-;-;6
"291185 Heliópolis";1;-;-;1
"291190 Iaçu";3;-;-;3
"291200 Ibiassucê";1;-;-;1
"291210 Ibicaraí";2;-;-;2
"291220 Ibicoara";5;-;-;5
"291230 Ibicuí";2;-;-;2
"291240 Ibipeba";5;-;-;5
"291250 Ibipitanga";2;-;2;4
"291270 Ibirapitanga";5;-;-;5
"291280 Ibirapuã";1;-;-;1
"291290 Ibirataia";3;-;-;3
"291300 Ibitiara";4;-;-;4
"291310 Ibititá";4;-;2;6
"291320 Ibotirama";9;3;-;12
"291340 Igaporã";3;-;-;3
"291345 Igrapiúna";-;-;1;1
"291350 Iguaí";1;1;-;2
"291360 Ilhéus";39;2;-;41
"291370 Inhambupe";4;1;2;7
"291380 Ipecaetá";4;-;-;4
"291390 Ipiaú";12;-;-;12
"291400 Ipirá";7;-;-;7
"291410 Ipupiara";-;1;-;1
"291430 Iramaia";3;-;-;3
"291440 Iraquara";2;1;-;3
"291450 Irará";1;-;-;1
"291460 Irecê";9;1;-;10
"291465 Itabela";7;-;-;7
"291470 Itaberaba";6;1;-;7
"291480 Itabuna";42;2;2;46
"291490 Itacaré";3;-;-;3
"291520 Itagibá";3;-;-;3
"291530 Itagimirim";1;-;-;1
"291535 Itaguaçu da Bahia";2;-;1;3
"291550 Itajuípe";6;-;-;6
"291560 Itamaraju";7;2;2;11
"291570 Itamari";2;-;-;2
"291580 Itambé";5;-;-;5
"291590 Itanagra";3;-;-;3
"291600 Itanhém";1;2;-;3
"291610 Itaparica";6;1;-;7
"291620 Itapé";3;-;-;3
"291630 Itapebi";2;-;-;2
"291640 Itapetinga";12;-;-;12
"291650 Itapicuru";5;1;-;6
"291660 Itapitanga";4;-;-;4
"291670 Itaquara";2;-;-;2
"291680 Itarantim";4;-;-;4
"291685 Itatim";-;1;-;1
"291690 Itiruçu";3;-;1;4
"291700 Itiúba";8;-;-;8
"291710 Itororó";1;1;-;2
"291720 Ituaçu";1;-;-;1
"291730 Ituberá";4;-;-;4
"291735 Jaborandi";1;-;-;1
"291740 Jacaraci";2;-;-;2
"291750 Jacobina";12;3;2;17
"291760 Jaguaquara";5;-;-;5
"291770 Jaguarari";8;1;1;10
"291780 Jaguaripe";1;-;-;1
"291790 Jandaíra";1;-;1;2
"291800 Jequié";25;4;-;29
"291810 Jeremoabo";5;-;1;6
"291820 Jiquiriçá";1;-;-;1
"291830 Jitaúna";2;-;-;2
"291835 João Dourado";3;1;-;4
"291840 Juazeiro";52;2;1;55
"291845 Jucuruçu";-;1;-;1
"291850 Jussara";3;-;-;3
"291855 Jussari";3;-;-;3
"291860 Jussiape";1;-;-;1
"291875 Lagoa Real";-;1;-;1
"291880 Laje";1;1;-;2
"291910 Lamarão";1;-;-;1
"291915 Lapão";2;-;1;3
"291920 Lauro de Freitas";25;-;-;25
"291930 Lençóis";1;-;-;1
"291940 Licínio de Almeida";3;-;-;3
"291950 Livramento de Nossa Senhora";3;1;-;4
"291955 Luís Eduardo Magalhães";19;3;-;22
"291960 Macajuba";2;-;-;2
"291970 Macarani";6;1;1;8
"291980 Macaúbas";8;-;-;8
"291990 Macururé";3;-;-;3
"291992 Madre de Deus";4;-;-;4
"291995 Maetinga";1;-;-;1
"292000 Maiquinique";2;-;-;2
"292010 Mairi";3;-;-;3
"292020 Malhada";1;-;-;1
"292045 Mansidão";3;-;1;4
"292050 Maracás";3;-;-;3
"292060 Maragogipe";2;1;-;3
"292070 Maraú";2;-;-;2
"292080 Marcionílio Souza";1;-;-;1
"292090 Mascote";2;-;-;2
"292100 Mata de São João";8;-;-;8
"292105 Matina";2;1;-;3
"292110 Medeiros Neto";2;1;-;3
"292120 Miguel Calmon";5;-;1;6
"292130 Milagres";2;-;-;2
"292140 Mirangaba";3;-;-;3
"292145 Mirante";3;-;-;3
"292150 Monte Santo";8;-;-;8
"292160 Morpará";2;1;-;3
"292170 Morro do Chapéu";8;3;-;11
"292180 Mortugaba";1;-;-;1
"292190 Mucugê";1;-;-;1
"292200 Mucuri";2;1;-;3
"292205 Mulungu do Morro";2;1;-;3
"292210 Mundo Novo";1;-;-;1
"292225 Muquém de São Francisco";4;-;-;4
"292230 Muritiba";4;-;-;4
"292240 Mutuípe";3;1;-;4
"292250 Nazaré";2;-;-;2
"292260 Nilo Peçanha";2;1;-;3
"292265 Nordestina";2;-;-;2
"292270 Nova Canaã";2;-;1;3
"292275 Nova Ibiá";2;-;-;2
"292280 Nova Itarana";2;2;-;4
"292285 Nova Redenção";1;-;-;1
"292290 Nova Soure";5;-;1;6
"292300 Nova Viçosa";8;2;-;10
"292303 Novo Horizonte";2;-;-;2
"292305 Novo Triunfo";3;-;-;3
"292310 Olindina";2;-;-;2
"292320 Oliveira dos Brejinhos";3;-;-;3
"292330 Ouriçangas";1;-;-;1
"292335 Ourolândia";3;1;-;4
"292340 Palmas de Monte Alto";4;-;-;4
"292350 Palmeiras";2;-;-;2
"292360 Paramirim";2;-;-;2
"292370 Paratinga";7;-;1;8
"292380 Paripiranga";2;-;-;2
"292390 Pau Brasil";5;-;-;5
"292400 Paulo Afonso";25;3;-;28
"292405 Pé de Serra";2;-;-;2
"292410 Pedrão";3;-;-;3
"292430 Piatã";3;-;-;3
"292440 Pilão Arcado";4;-;1;5
"292450 Pindaí";1;-;-;1
"292460 Pindobaçu";5;1;-;6
"292467 Piraí do Norte";1;-;-;1
"292480 Piritiba";1;-;-;1
"292490 Planaltino";1;-;-;1
"292500 Planalto";4;1;-;5
"292510 Poções";6;-;-;6
"292520 Pojuca";6;-;-;6
"292525 Ponto Novo";4;-;-;4
"292530 Porto Seguro";30;4;1;35
"292540 Potiraguá";2;-;-;2
"292550 Prado";2;-;1;3
"292560 Presidente Dutra";4;-;-;4
"292570 Presidente Jânio Quadros";2;-;-;2
"292575 Presidente Tancredo Neves";3;1;1;5
"292580 Queimadas";1;-;1;2
"292590 Quijingue";3;-;-;3
"292595 Rafael Jambeiro";4;1;1;6
"292600 Remanso";2;-;-;2
"292610 Retirolândia";-;1;1;2
"292620 Riachão das Neves";3;-;-;3
"292630 Riachão do Jacuípe";6;-;-;6
"292640 Riacho de Santana";3;-;-;3
"292650 Ribeira do Amparo";2;1;-;3
"292660 Ribeira do Pombal";6;1;-;7
"292665 Ribeirão do Largo";1;-;-;1
"292670 Rio de Contas";2;-;-;2
"292680 Rio do Antônio";1;-;-;1
"292690 Rio do Pires";1;-;-;1
"292700 Rio Real";4;-;2;6
"292710 Rodelas";3;-;1;4
"292720 Ruy Barbosa";4;-;1;5
"292730 Salinas da Margarida";2;-;-;2
"292740 Salvador";367;21;7;395
"292750 Santa Bárbara";1;-;-;1
"292770 Santa Cruz Cabrália";4;1;-;5
"292780 Santa Cruz da Vitória";1;-;-;1
"292805 Santa Luzia";4;1;1;6
"292810 Santa Maria da Vitória";7;-;1;8
"292840 Santa Rita de Cássia";6;1;2;9
"292800 Santaluz";2;1;-;3
"292820 Santana";2;-;-;2
"292860 Santo Amaro";8;-;-;8
"292870 Santo Antônio de Jesus";10;1;-;11
"292880 Santo Estêvão";8;-;-;8
"292890 São Desidério";3;2;-;5
"292910 São Felipe";3;-;-;3
"292900 São Félix";1;-;2;3
"292920 São Francisco do Conde";6;3;1;10
"292925 São Gabriel";3;-;-;3
"292930 São Gonçalo dos Campos";4;-;-;4
"292935 São José da Vitória";5;-;-;5
"292937 São José do Jacuípe";2;-;-;2
"292940 São Miguel das Matas";5;-;1;6
"292950 São Sebastião do Passé";5;-;-;5
"292960 Sapeaçu";3;2;-;5
"292970 Sátiro Dias";1;1;-;2
"292975 Saubara";1;-;-;1
"292980 Saúde";3;1;-;4
"292990 Seabra";7;1;-;8
"293010 Senhor do Bonfim";12;1;-;13
"293020 Sento Sé";10;1;-;11
"293015 Serra do Ramalho";5;1;-;6
"293030 Serra Dourada";2;1;-;3
"293040 Serra Preta";2;-;-;2
"293050 Serrinha";9;-;-;9
"293060 Serrolândia";2;-;-;2
"293070 Simões Filho";18;-;2;20
"293075 Sítio do Mato";3;-;-;3
"293076 Sítio do Quinto";2;-;-;2
"293077 Sobradinho";7;-;-;7
"293080 Souto Soares";4;1;-;5
"293100 Tanhaçu";5;-;-;5
"293105 Tanque Novo";2;-;-;2
"293120 Taperoá";1;-;-;1
"293135 Teixeira de Freitas";14;1;1;16
"293150 Teofilândia";1;1;-;2
"293170 Terra Nova";1;-;-;1
"293190 Tucano";8;-;-;8
"293200 Uauá";5;1;-;6
"293210 Ubaíra";3;-;-;3
"293220 Ubaitaba";4;1;1;6
"293230 Ubatã";2;-;-;2
"293240 Uibaí";1;-;-;1
"293245 Umburanas";1;-;-;1
"293250 Una";5;-;-;5
"293260 Urandi";3;-;-;3
"293270 Uruçuca";4;-;-;4
"293280 Utinga";1;-;1;2
"293290 Valença";14;1;-;15
"293300 Valente";4;-;-;4
"293305 Várzea da Roça";2;-;-;2
"293310 Várzea do Poço";2;-;-;2
"293315 Várzea Nova";1;-;-;1
"293317 Varzedo";2;-;-;2
"293320 Vera Cruz";2;3;1;6
"293330 Vitória da Conquista";60;4;1;65
"293340 Wagner";3;-;-;3
"293350 Wenceslau Guimarães";10;-;-;10
"293360 Xique-Xique";15;-;1;16
"290000 Município ignorado - BA";1;1;-;2
"310020 Abaeté";2;-;-;2
"310060 Água Boa";2;-;-;2
"310080 Aguanil";2;-;-;2
"310090 Águas Formosas";3;-;-;3
"310110 Aimorés";-;-;1;1
"310150 Além Paraíba";8;1;-;9
"310160 Alfenas";11;-;1;12
"310163 Alfredo Vasconcelos";2;-;-;2
"310170 Almenara";6;2;1;9
"310200 Alterosa";-;1;-;1
"310210 Alto Rio Doce";3;-;-;3
"310230 Alvinópolis";4;1;-;5
"310240 Alvorada de Minas";3;-;-;3
"310260 Andradas";3;-;-;3
"310280 Andrelândia";1;-;-;1
"310285 Angelândia";1;1;-;2
"310290 Antônio Carlos";2;-;-;2
"310300 Antônio Dias";1;-;-;1
"310310 Antônio Prado de Minas";1;-;-;1
"310340 Araçuaí";3;-;-;3
"310350 Araguari";13;1;-;14
"310375 Araporã";1;-;-;1
"310390 Araújos";1;-;-;1
"310400 Araxá";9;1;1;11
"310410 Arceburgo";1;-;1;2
"310420 Arcos";4;-;-;4
"310430 Areado";1;-;-;1
"310450 Arinos";3;-;-;3
"310460 Astolfo Dutra";1;-;-;1
"310470 Ataléia";1;-;-;1
"310490 Baependi";2;-;-;2
"310500 Baldim";2;-;-;2
"310510 Bambuí";2;-;-;2
"310520 Bandeira";1;-;-;1
"310540 Barão de Cocais";4;-;1;5
"310550 Barão de Monte Alto";2;-;-;2
"310560 Barbacena";11;2;1;14
"310590 Barroso";4;-;1;5
"310600 Bela Vista de Minas";1;-;1;2
"310620 Belo Horizonte";172;15;8;195
"310630 Belo Oriente";2;1;-;3
"310640 Belo Vale";1;1;-;2
"310650 Berilo";1;-;-;1
"310660 Bertópolis";1;3;1;5
"310670 Betim";35;5;5;45
"310680 Bias Fortes";1;-;-;1
"310690 Bicas";1;-;-;1
"310710 Boa Esperança";6;-;-;6
"310730 Bocaiúva";8;-;1;9
"310740 Bom Despacho";4;-;-;4
"310750 Bom Jardim de Minas";1;-;-;1
"310800 Bom Sucesso";2;1;-;3
"310820 Bonfinópolis de Minas";1;-;-;1
"310825 Bonito de Minas";1;-;-;1
"310830 Borda da Mata";1;-;-;1
"310840 Botelhos";6;-;-;6
"310850 Botumirim";1;-;-;1
"310855 Brasilândia de Minas";2;1;-;3
"310860 Brasília de Minas";2;1;-;3
"310890 Brazópolis";1;-;-;1
"310900 Brumadinho";2;-;-;2
"310920 Buenópolis";1;-;-;1
"310930 Buritis";2;-;-;2
"310940 Buritizeiro";4;-;-;4
"310950 Cabo Verde";1;-;-;1
"310970 Cachoeira de Minas";1;-;-;1
"310270 Cachoeira de Pajeú";2;-;1;3
"310980 Cachoeira Dourada";1;-;-;1
"310990 Caetanópolis";1;-;-;1
"311000 Caeté";4;1;-;5
"311050 Camanducaia";2;-;-;2
"311060 Cambuí";2;-;-;2
"311090 Campanha";1;-;-;1
"311100 Campestre";2;-;-;2
"311110 Campina Verde";2;-;-;2
"311115 Campo Azul";2;-;-;2
"311120 Campo Belo";3;1;1;5
"311130 Campo do Meio";1;-;-;1
"311160 Campos Gerais";3;-;-;3
"311180 Canápolis";-;2;-;2
"311205 Cantagalo";1;-;-;1
"311230 Capelinha";4;-;-;4
"311240 Capetinga";1;-;-;1
"311250 Capim Branco";1;-;-;1
"311260 Capinópolis";4;-;-;4
"311265 Capitão Andrade";1;-;1;2
"311270 Capitão Enéas";1;-;-;1
"311290 Caputira";1;-;-;1
"311300 Caraí";6;-;-;6
"311310 Caranaíba";2;-;-;2
"311320 Carandaí";5;-;-;5
"311330 Carangola";5;-;1;6
"311340 Caratinga";15;1;-;16
"311360 Careaçu";1;-;-;1
"311370 Carlos Chagas";2;-;-;2
"311380 Carmésia";1;-;-;1
"311390 Carmo da Cachoeira";1;-;-;1
"311410 Carmo de Minas";1;-;-;1
"311430 Carmo do Paranaíba";2;-;-;2
"311440 Carmo do Rio Claro";2;-;-;2
"311450 Carmópolis de Minas";1;-;-;1
"311455 Carneirinho";1;-;-;1
"311460 Carrancas";2;-;-;2
"311480 Carvalhos";1;1;-;2
"311510 Cássia";-;1;-;1
"311530 Cataguases";5;-;-;5
"311540 Catas Altas da Noruega";1;-;-;1
"311545 Catuji";3;-;-;3
"311547 Catuti";1;-;-;1
"311550 Caxambu";2;-;-;2
"311580 Centralina";2;-;-;2
"311600 Chalé";2;-;-;2
"311610 Chapada do Norte";1;-;-;1
"311615 Chapada Gaúcha";1;-;-;1
"311620 Chiador";1;-;-;1
"311630 Cipotânea";1;-;-;1
"311650 Claro dos Poções";1;-;1;2
"311670 Coimbra";-;1;-;1
"311680 Coluna";2;-;1;3
"311730 Conceição das Alagoas";1;-;-;1
"311750 Conceição do Mato Dentro";1;1;-;2
"311770 Conceição do Rio Verde";1;-;-;1
"311780 Conceição dos Ouros";2;-;-;2
"311787 Confins";1;-;-;1
"311800 Congonhas";8;-;-;8
"311810 Congonhas do Norte";1;1;-;2
"311830 Conselheiro Lafaiete";21;1;-;22
"311840 Conselheiro Pena";-;-;1;1
"311860 Contagem";48;7;4;59
"311880 Coração de Jesus";3;-;-;3
"311900 Cordislândia";1;-;-;1
"311910 Corinto";5;1;-;6
"311930 Coromandel";3;-;-;3
"311940 Coronel Fabriciano";10;4;-;14
"311950 Coronel Murta";2;-;-;2
"311995 Córrego Fundo";2;-;-;2
"312000 Córrego Novo";1;1;-;2
"312010 Couto de Magalhães de Minas";-;1;-;1
"312040 Cristiano Otoni";1;-;-;1
"312070 Cruzeiro da Fortaleza";1;-;-;1
"312083 Cuparaque";1;-;1;2
"312087 Curral de Dentro";1;1;-;2
"312090 Curvelo";8;-;-;8
"312160 Diamantina";4;1;-;5
"312170 Diogo de Vasconcelos";1;-;-;1
"312200 Divino";2;-;-;2
"312230 Divinópolis";10;4;1;15
"312245 Divisópolis";1;-;-;1
"312250 Dom Cavati";1;-;-;1
"312300 Dores de Campos";1;-;-;1
"312320 Dores do Indaiá";1;-;-;1
"312350 Douradoquara";1;-;-;1
"312352 Durandé";-;-;1;1
"312360 Elói Mendes";7;1;-;8
"312370 Engenheiro Caldas";3;-;-;3
"312380 Engenheiro Navarro";1;-;-;1
"312385 Entre Folhas";1;-;-;1
"312390 Entre Rios de Minas";4;1;-;5
"312400 Ervália";-;-;2;2
"312410 Esmeraldas";7;-;-;7
"312420 Espera Feliz";1;-;-;1
"312430 Espinosa";2;-;-;2
"312450 Estiva";2;-;-;2
"312490 Eugenópolis";1;-;-;1
"312510 Extrema";2;1;-;3
"312530 Faria Lemos";1;-;-;1
"312560 Felisburgo";1;-;-;1
"312570 Felixlândia";2;1;-;3
"312580 Fernandes Tourinho";1;-;-;1
"312595 Fervedouro";1;-;-;1
"312600 Florestal";1;-;-;1
"312610 Formiga";7;-;1;8
"312620 Formoso";2;1;-;3
"312670 Francisco Sá";4;1;-;5
"312680 Frei Gaspar";2;-;-;2
"312690 Frei Inocêncio";2;-;-;2
"312700 Fronteira";3;-;-;3
"312705 Fronteira dos Vales";1;-;-;1
"312707 Fruta de Leite";1;-;-;1
"312710 Frutal";4;2;-;6
"312730 Galiléia";2;-;-;2
"312733 Gameleiras";1;-;-;1
"312735 Glaucilândia";1;-;-;1
"312737 Goiabeira";1;-;-;1
"312738 Goianá";-;-;1;1
"312740 Gonçalves";1;-;-;1
"312750 Gonzaga";2;-;-;2
"312760 Gouveia";2;-;-;2
"312770 Governador Valadares";34;2;1;37
"312800 Guanhães";2;2;-;4
"312810 Guapé";2;-;-;2
"312820 Guaraciaba";1;-;-;1
"312825 Guaraciama";2;-;-;2
"312830 Guaranésia";4;1;-;5
"312840 Guarani";1;-;-;1
"312860 Guarda-Mor";1;-;-;1
"312870 Guaxupé";11;1;-;12
"312880 Guidoval";1;-;-;1
"312950 Ibiá";1;-;-;1
"312965 Ibiracatu";2;-;-;2
"312970 Ibiraci";-;1;-;1
"312980 Ibirité";17;1;2;20
"313010 Igarapé";3;-;-;3
"313020 Igaratinga";1;-;-;1
"313030 Iguatama";1;-;-;1
"313055 Imbé de Minas";1;-;-;1
"313060 Inconfidentes";1;-;-;1
"313070 Indianópolis";1;1;-;2
"313090 Inhapim";1;-;-;1
"313110 Inimutaba";3;-;-;3
"313115 Ipaba";2;-;-;2
"313120 Ipanema";1;1;-;2
"313130 Ipatinga";20;2;1;23
"313140 Ipiaçu";1;-;-;1
"313150 Ipuiúna";2;-;-;2
"313160 Iraí de Minas";1;-;-;1
"313170 Itabira";4;1;-;5
"313190 Itabirito";2;1;-;3
"313200 Itacambira";-;1;-;1
"313210 Itacarambi";2;1;-;3
"313220 Itaguara";1;-;-;1
"313230 Itaipé";1;-;-;1
"313240 Itajubá";10;1;1;12
"313250 Itamarandiba";3;-;-;3
"313270 Itambacuri";5;-;-;5
"313290 Itamogi";1;-;-;1
"313300 Itamonte";1;-;-;1
"313330 Itaobim";2;1;-;3
"313340 Itapagipe";-;1;-;1
"313350 Itapecerica";2;-;-;2
"313360 Itapeva";4;-;-;4
"313370 Itatiaiuçu";1;-;-;1
"313375 Itaú de Minas";1;-;-;1
"313380 Itaúna";8;1;2;11
"313390 Itaverava";2;-;-;2
"313400 Itinga";2;-;-;2
"313420 Ituiutaba";5;3;-;8
"313440 Iturama";3;-;-;3
"313450 Itutinga";1;-;-;1
"313460 Jaboticatubas";3;-;-;3
"313480 Jacuí";1;-;-;1
"313490 Jacutinga";1;-;-;1
"313500 Jaguaraçu";1;1;-;2
"313505 Jaíba";2;-;-;2
"313507 Jampruca";1;-;-;1
"313510 Janaúba";4;9;1;14
"313520 Januária";9;2;-;11
"313545 Jenipapo de Minas";-;1;-;1
"313550 Jequeri";2;-;-;2
"313570 Jequitibá";1;-;-;1
"313580 Jequitinhonha";4;-;-;4
"313590 Jesuânia";1;-;-;1
"313600 Joaíma";2;-;-;2
"313620 João Monlevade";10;-;1;11
"313630 João Pinheiro";4;-;1;5
"313650 Jordânia";2;-;-;2
"313652 José Gonçalves de Minas";1;-;-;1
