 Mortalidade - Brasil - Dados preliminares
Óbitos p/Residênc por Município e Capítulo CID-10
Capítulo CID-10: XV.  Gravidez parto e puerpério
Período:2017
"Município";"Cap XV";"Total"
"520110 Anápolis";2;2
"520140 Aparecida de Goiânia";6;6
"520340 Bom Jardim de Goiás";1;1
"520530 Cavalcante";2;2
"520540 Ceres";1;1
"520545 Cezarina";1;1
"520551 Cocalzinho de Goiás";1;1
"520800 Formosa";1;1
"520870 Goiânia";12;12
"520910 Goiatuba";1;1
"521040 Itaberaí";1;1
"521120 Itapuranga";2;2
"521180 Jaraguá";2;2
"521190 Jataí";1;1
"521220 Jussara";1;1
"521250 Luziânia";1;1
"521350 Monte Alegre de Goiás";1;1
"521490 Nova Roma";1;1
"521523 Novo Gama";1;1
"521800 Porangatu";1;1
"521880 Rio Verde";1;1
"521910 Santa Bárbara de Goiás";1;1
"521970 Santa Terezinha de Goiás";2;2
"521975 Santo Antônio do Descoberto";3;3
"522040 São Simão";1;1
"522045 Senador Canedo";2;2
"522185 Valparaíso de Goiás";1;1
"530010 Brasília";22;22
"Total";1773;1773
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
